Date,tm000
20241201,273.015
20241202,275.371
20241203,273.648
20241204,274.007
20241205,277.388
20241206,272.029
20241207,271.99
20241208,274.575
20241209,282.5
20241210,281.705
20241211,282.3
20241212,278.752
20241213,275.536
20241214,275.5
20241215,274.479
20241216,276.748
20241217,279.378
20241218,282.349
20241219,283.2
20241220,279.013
20241221,276.368
20241222,272.535
20241223,270.447
20241224,271.1
20241225,274.296
20241226,276.724
20241227,275.328
20241228,277.322
20241229,279.772
20241230,286.085
20241231,283.268
20250101,283.96
20250102,278.112
20250103,275.118
20250104,272.235
20250105,270.39
20250106,271.311
20250107,269.921
20250108,268.568
20250109,266.083
20250110,267.242
20250111,269.098
20250112,268.843
20250113,270.1
20250114,272.992
20250115,269.771
20250116,267.9
20250117,270.607
20250118,272.013
20250119,272.695
20250120,270.046
20250121,262.907
20250122,264.727
20250123,264.662
20250124,266.68
20250125,269.302
20250126,270.969
20250127,272.044
20250128,272.63
20250129,273.274
20250130,277.277
20250131,276.896
20250201,282.256
20250202,275.308
20250203,274.404
20250204,279.416
20250205,278.419
20250206,275.4
20250207,277.418
20250208,277.9
20250209,273.3
20250210,276.8
20250211,275.885
20250212,272.656
20250213,273.4
20250214,276.405
20250215,274.945
20250216,275.905
20250217,277.3
20250218,273.797
20250219,270.1
20250220,268.8
20250221,268.799
20250222,271.661
20250223,273.193
20250224,277.185
20250225,280.633
20250226,282.939
20250227,284.749
20250228,283.339

